file,class,type,dit_x,fanin_x,fanout_x,lcc_x,lcom*_x,loc_x,noc_x,rfc_x,innerClassesQty_x,totalFieldsQty_x,totalMethodsQty_x,wmc_x,NprotM_x,BOvR_x,ATFD_x,ATLD_x,LAA_x,BUR_x,FDP_x,line_x,dit_y,fanin_y,fanout_y,lcc_y,lcom*_y,loc_y,noc_y,rfc_y,innerClassesQty_y,totalFieldsQty_y,totalMethodsQty_y,wmc_y,NprotM_y,BOvR_y,ATFD_y,ATLD_y,LAA_y,BUR_y,FDP_y,line_y
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\model\View.java,hudson.model.View$1301,anonymous,1,0,1,,0.0,5,0,2,0,0,1,1,0.0,-1.0,2.0,0.0,0.0,-1.0,1.0,1301,1.0,0.0,1.0,,0.0,5.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,0.0,-1.0,1.0,1301.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\slaves\Channels.java,hudson.slaves.Channels$123$126,anonymous,1,0,0,0.0,0.0,11,0,5,0,0,2,2,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,126,1.0,0.0,0.0,0.0,0.0,11.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,126.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\org\acegisecurity\AcegiSecurityException.java,org.acegisecurity.AcegiSecurityException,class,2,4,1,0.0,0.0,11,2,1,0,0,3,3,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,33,2.0,4.0,1.0,0.0,0.0,11.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,33.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\util\IncompatibleVMDetected.java,hudson.util.IncompatibleVMDetected,class,2,1,1,,0.0,5,0,1,0,0,1,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,37,2.0,1.0,1.0,,0.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,37.0
C:\Users\syuuj\gitProject\jenkins\core\src\test\java\hudson\model\RunTest.java,hudson.model.RunTest$146,anonymous,1,0,0,,0.0,5,0,0,0,0,1,1,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,146,1.0,0.0,0.0,,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,146.0
C:\Users\syuuj\gitProject\jenkins\core\src\test\java\hudson\util\SubClassGeneratorTest.java,hudson.util.SubClassGeneratorTest,class,1,0,3,,0.0,26,0,8,1,0,1,1,0.0,-1.0,12.0,0.0,0.0,-1.0,6.0,33,1.0,0.0,3.0,,0.0,26.0,0.0,8.0,1.0,0.0,1.0,1.0,0.0,-1.0,12.0,0.0,0.0,-1.0,6.0,33.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\jenkins\install\InstallState.java,jenkins.install.InstallState$69,anonymous,1,0,0,-1.0,0.0,2,0,0,0,0,0,0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,69,1.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,69.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\model\FreeStyleProject.java,hudson.model.FreeStyleProject$DescriptorImpl,innerclass,4,0,6,0.0,0.0,29,0,4,0,0,7,8,6.0,1.0,7.0,0.0,0.0,0.0,4.0,75,4.0,0.0,6.0,0.0,0.0,29.0,0.0,4.0,0.0,0.0,7.0,8.0,6.0,1.0,7.0,0.0,0.0,0.0,4.0,75.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\ExtensionFinder.java,hudson.ExtensionFinder$GuiceFinder$SezpozModule$542,anonymous,1,0,1,,0.0,5,0,1,0,0,1,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,542,1.0,0.0,1.0,,0.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,542.0
C:\Users\syuuj\gitProject\jenkins\core\src\test\java\hudson\model\RunTest.java,hudson.model.RunTest$91,anonymous,1,0,0,,0.0,5,0,1,0,0,1,1,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,91,1.0,0.0,0.0,,0.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,91.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\node_monitors\DiskSpaceMonitor.java,hudson.node_monitors.DiskSpaceMonitor$63,anonymous,1,0,6,0.0,0.0,12,0,4,0,0,2,4,14.0,1.0,2.0,0.0,0.0,0.0,2.0,63,1.0,0.0,6.0,0.0,0.0,12.0,0.0,4.0,0.0,0.0,2.0,4.0,14.0,1.0,2.0,0.0,0.0,0.0,2.0,63.0
C:\Users\syuuj\gitProject\jenkins\core\src\test\java\hudson\model\ParameterDefinitionTest.java,hudson.model.ParameterDefinitionTest$143,anonymous,1,0,0,,0.0,4,0,0,0,0,1,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,143,1.0,0.0,0.0,,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,143.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\slaves\SlaveComputer.java,hudson.slaves.SlaveComputer$760,anonymous,1,0,2,,0.0,7,0,3,0,0,1,1,0.0,-1.0,2.0,0.0,0.0,-1.0,1.0,760,1.0,0.0,2.0,,0.0,7.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,0.0,-1.0,1.0,760.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\util\LineEndingConversion.java,hudson.util.LineEndingConversion,class,1,4,1,,0.0,28,0,3,1,0,1,10,0.0,-1.0,7.0,0.0,0.0,-1.0,1.0,9,1.0,4.0,1.0,,0.0,28.0,0.0,3.0,1.0,0.0,1.0,10.0,0.0,-1.0,7.0,0.0,0.0,-1.0,1.0,9.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\util\ProcessTree.java,hudson.util.ProcessTree$488,anonymous,1,0,3,0.0,0.0,26,0,0,0,0,2,2,1.0,1.0,1.0,0.0,0.0,0.0,1.0,488,1.0,0.0,3.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,488.0
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\util\SubClassGenerator.java,hudson.util.SubClassGenerator,class,2,1,8,0.0,0.0,41,0,28,0,0,3,8,0.0,0.0,16.0,1.0,0.05882353,-1.0,6.0,41,2.0,1.0,8.0,0.0,0.0,41.0,0.0,28.0,0.0,0.0,3.0,8.0,0.0,0.0,16.0,1.0,0.05882353,-1.0,6.0,41.0
