file,class,method,fanin_x,fanout_x,wmc_x,loc_x,returnsQty_x,variablesQty_x,parametersQty_x,loopQty_x,anonymousClassesQty_x,innerClassesQty_x,ATFD_x,ATLD_x,LAA_x,FDP_x,line_x,fanin_y,fanout_y,wmc_y,loc_y,returnsQty_y,variablesQty_y,parametersQty_y,loopQty_y,anonymousClassesQty_y,innerClassesQty_y,ATFD_y,ATLD_y,LAA_y,FDP_y,line_y,qualifiedName,FeatureEnvy
C:\Users\syuuj\gitProject\nanohttpd\websocket\src\main\java\fi\iki\elonen\NanoWSD.java,fi.iki.elonen.NanoWSD.WebSocketException,"WebSocketException/2[fi.iki.elonen.NanoWSD.WebSocketFrame.CloseCode,java.lang.String]",5,0,1,3,0,0,2,0,0,0,0.0,0.0,-1.0,0.0,285,5.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,284.0,fi.iki.elonen.NanoWSD.WebSocketException.WebSocketException,0.0
C:\Users\syuuj\gitProject\nanohttpd\websocket\src\main\java\fi\iki\elonen\NanoWSD.java,fi.iki.elonen.NanoWSD.WebSocketException,"WebSocketException/3[fi.iki.elonen.NanoWSD.WebSocketFrame.CloseCode,java.lang.String,java.lang.Exception]",0,0,1,5,0,0,3,0,0,0,0.0,2.0,1.0,0.0,289,0.0,0.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,288.0,fi.iki.elonen.NanoWSD.WebSocketException.WebSocketException,0.0
C:\Users\syuuj\gitProject\nanohttpd\websocket\src\main\java\fi\iki\elonen\samples\echo\DebugWebSocketServer.java,fi.iki.elonen.samples.echo.DebugWebSocketServer.DebugWebSocket,onPong/1[fi.iki.elonen.NanoWSD.WebSocketFrame],0,0,2,5,0,0,1,0,0,0,1.0,0.0,0.0,1.0,97,0.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,97.0,fi.iki.elonen.samples.echo.DebugWebSocketServer.DebugWebSocket.onPong,0.0
C:\Users\syuuj\gitProject\nanohttpd\websocket\src\main\java\fi\iki\elonen\samples\echo\DebugWebSocketServer.java,fi.iki.elonen.samples.echo.DebugWebSocketServer.DebugWebSocket,onMessage/1[fi.iki.elonen.NanoWSD.WebSocketFrame],0,2,2,9,0,0,1,0,0,0,1.0,0.0,0.0,1.0,87,0.0,2.0,2.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,87.0,fi.iki.elonen.samples.echo.DebugWebSocketServer.DebugWebSocket.onMessage,0.0
C:\Users\syuuj\gitProject\nanohttpd\websocket\src\main\java\fi\iki\elonen\samples\echo\DebugWebSocketServer.java,fi.iki.elonen.samples.echo.DebugWebSocketServer.DebugWebSocket,onException/1[java.io.IOException],0,0,1,3,0,0,1,0,0,0,1.0,0.0,0.0,1.0,104,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,104.0,fi.iki.elonen.samples.echo.DebugWebSocketServer.DebugWebSocket.onException,0.0
C:\Users\syuuj\gitProject\nanohttpd\websocket\src\main\java\fi\iki\elonen\samples\echo\DebugWebSocketServer.java,fi.iki.elonen.samples.echo.DebugWebSocketServer.DebugWebSocket,debugFrameReceived/1[fi.iki.elonen.NanoWSD.WebSocketFrame],0,0,2,5,0,0,1,0,0,0,1.0,0.0,0.0,1.0,109,0.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,109.0,fi.iki.elonen.samples.echo.DebugWebSocketServer.DebugWebSocket.debugFrameReceived,0.0
C:\Users\syuuj\gitProject\nanohttpd\websocket\src\main\java\fi\iki\elonen\samples\echo\DebugWebSocketServer.java,fi.iki.elonen.samples.echo.DebugWebSocketServer.DebugWebSocket,"onClose/3[fi.iki.elonen.NanoWSD.WebSocketFrame.CloseCode,java.lang.String,boolean]",0,0,6,5,0,0,3,0,0,0,1.0,0.0,0.0,1.0,79,0.0,0.0,6.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,79.0,fi.iki.elonen.samples.echo.DebugWebSocketServer.DebugWebSocket.onClose,0.0
C:\Users\syuuj\gitProject\nanohttpd\websocket\src\main\java\fi\iki\elonen\samples\echo\DebugWebSocketServer.java,fi.iki.elonen.samples.echo.DebugWebSocketServer.DebugWebSocket,onOpen/0,0,0,1,2,0,0,0,0,0,0,0.0,0.0,-1.0,0.0,75,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,75.0,fi.iki.elonen.samples.echo.DebugWebSocketServer.DebugWebSocket.onOpen,0.0
C:\Users\syuuj\gitProject\nanohttpd\websocket\src\main\java\fi\iki\elonen\samples\echo\DebugWebSocketServer.java,fi.iki.elonen.samples.echo.DebugWebSocketServer.DebugWebSocket,"DebugWebSocket/2[fi.iki.elonen.samples.echo.DebugWebSocketServer,fi.iki.elonen.NanoHTTPD.IHTTPSession]",1,0,1,4,0,0,2,0,0,0,0.0,1.0,1.0,0.0,69,1.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,69.0,fi.iki.elonen.samples.echo.DebugWebSocketServer.DebugWebSocket.DebugWebSocket,0.0
C:\Users\syuuj\gitProject\nanohttpd\websocket\src\main\java\fi\iki\elonen\samples\echo\DebugWebSocketServer.java,fi.iki.elonen.samples.echo.DebugWebSocketServer.DebugWebSocket,debugFrameSent/1[fi.iki.elonen.NanoWSD.WebSocketFrame],0,0,2,5,0,0,1,0,0,0,1.0,0.0,0.0,1.0,116,0.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,116.0,fi.iki.elonen.samples.echo.DebugWebSocketServer.DebugWebSocket.debugFrameSent,0.0
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\HttpHeadRequestTest.java,fi.iki.elonen.HttpHeadRequestTest,testSingleGetParameter/0,0,1,1,5,0,0,0,0,0,0,3.0,1.0,0.25,2.0,183,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,176.0,fi.iki.elonen.HttpHeadRequestTest.testSingleGetParameter,0.0
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\HttpHeadRequestTest.java,fi.iki.elonen.HttpHeadRequestTest,testEmptyHeadersSuppliedToServeMethodFromSimpleWorkingGetRequest/0,0,1,1,8,0,0,0,0,0,0,5.0,1.0,0.16666667,1.0,120,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.2,1.0,120.0,fi.iki.elonen.HttpHeadRequestTest.testEmptyHeadersSuppliedToServeMethodFromSimpleWorkingGetRequest,0.0
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\HttpHeadRequestTest.java,fi.iki.elonen.HttpHeadRequestTest,setUp/0,0,1,1,5,0,1,0,0,0,0,2.0,0.0,0.0,2.0,48,0.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,48.0,fi.iki.elonen.HttpHeadRequestTest.setUp,0.0
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\HttpHeadRequestTest.java,fi.iki.elonen.HttpHeadRequestTest,testDecodingParametersWithSingleValueAndMissingValue/0,0,1,1,9,0,0,0,0,0,0,7.0,1.0,0.125,3.0,100,0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.125,3.0,100.0,fi.iki.elonen.HttpHeadRequestTest.testDecodingParametersWithSingleValueAndMissingValue,0.0
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\HttpHeadRequestTest.java,fi.iki.elonen.HttpHeadRequestTest,testDecodingParametersFromParameterMap/0,0,1,1,4,0,0,0,0,0,0,2.0,1.0,0.33333334,1.0,79,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.33333334,1.0,79.0,fi.iki.elonen.HttpHeadRequestTest.testDecodingParametersFromParameterMap,0.0
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\HttpHeadRequestTest.java,fi.iki.elonen.HttpHeadRequestTest,testMultipleHeaderSuppliedToServeMethodFromSimpleWorkingGetRequest/0,0,1,1,7,0,2,0,0,0,0,2.0,1.0,0.33333334,1.0,174,0.0,1.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.33333334,1.0,167.0,fi.iki.elonen.HttpHeadRequestTest.testMultipleHeaderSuppliedToServeMethodFromSimpleWorkingGetRequest,0.0
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\HttpHeadRequestTest.java,fi.iki.elonen.HttpHeadRequestTest,testHeadRequestDoesntSendBackResponseBody/0,0,2,1,5,0,2,0,0,0,0,0.0,1.0,1.0,0.0,130,0.0,2.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,129.0,fi.iki.elonen.HttpHeadRequestTest.testHeadRequestDoesntSendBackResponseBody,0.0
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\HttpHeadRequestTest.java,fi.iki.elonen.HttpHeadRequestTest,testDecodingMixtureOfParameters/0,0,1,1,12,0,0,0,0,0,0,12.0,1.0,0.07692308,2.0,65,0.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.07692308,2.0,65.0,fi.iki.elonen.HttpHeadRequestTest.testDecodingMixtureOfParameters,0.0
