file,class,method,fanin_x,fanout_x,wmc_x,loc_x,returnsQty_x,variablesQty_x,parametersQty_x,loopQty_x,anonymousClassesQty_x,innerClassesQty_x,ATFD_x,ATLD_x,LAA_x,FDP_x,line_x,fanin_y,fanout_y,wmc_y,loc_y,returnsQty_y,variablesQty_y,parametersQty_y,loopQty_y,anonymousClassesQty_y,innerClassesQty_y,ATFD_y,ATLD_y,LAA_y,FDP_y,line_y,qualifiedName,LongMethod
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\mime\TypedFile.java,retrofit.mime.TypedFile,"TypedFile/2[java.lang.String,java.io.File]",3,0,3,10,0,0,2,0,0,0,0.0,2.0,1.0,0.0,40,3.0,0.0,3.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,40.0,retrofit.mime.TypedFile.TypedFile,0.0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\mime\TypedFile.java,retrofit.mime.TypedFile,equals/1[java.lang.Object],0,0,3,8,3,1,1,0,0,0,0.0,0.0,-1.0,0.0,104,0.0,0.0,3.0,8.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,104.0,retrofit.mime.TypedFile.equals,0.0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\mime\TypedFile.java,retrofit.mime.TypedFile,length/0,1,0,1,3,1,0,0,0,0,0,0.0,0.0,-1.0,0.0,60,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,60.0,retrofit.mime.TypedFile.length,0.0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\converter\GsonConverter.java,retrofit.converter.GsonConverter.JsonTypedOutput,fileName/0,0,0,1,3,1,0,0,0,0,0,0.0,0.0,-1.0,0.0,95,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,95.0,retrofit.converter.GsonConverter.JsonTypedOutput.fileName,0.0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\converter\GsonConverter.java,retrofit.converter.GsonConverter.JsonTypedOutput,writeTo/1[java.io.OutputStream],0,0,1,3,0,0,1,0,0,0,0.0,1.0,1.0,0.0,107,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,107.0,retrofit.converter.GsonConverter.JsonTypedOutput.writeTo,0.0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\converter\GsonConverter.java,retrofit.converter.GsonConverter.JsonTypedOutput,"JsonTypedOutput/2[byte[],java.lang.String]",1,0,1,4,0,0,2,0,0,0,0.0,2.0,1.0,0.0,90,1.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,90.0,retrofit.converter.GsonConverter.JsonTypedOutput.JsonTypedOutput,0.0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\converter\GsonConverter.java,retrofit.converter.GsonConverter.JsonTypedOutput,length/0,0,0,1,3,1,0,0,0,0,0,1.0,0.0,0.0,1.0,103,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,103.0,retrofit.converter.GsonConverter.JsonTypedOutput.length,0.0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\converter\GsonConverter.java,retrofit.converter.GsonConverter.JsonTypedOutput,mimeType/0,0,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,99,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,99.0,retrofit.converter.GsonConverter.JsonTypedOutput.mimeType,0.0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest.73Example,a/1[java.lang.String],0,0,1,3,1,0,1,0,0,0,0.0,0.0,-1.0,0.0,1283,,,,,,,,,,,,,,,,retrofit.RestMethodInfoTest.73Example.a,0.0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestAdapterTest.java,retrofit.RestAdapterTest.Example,"observable/2[java.lang.String,java.lang.String]",1,0,1,1,0,0,2,0,0,0,0.0,0.0,-1.0,0.0,84,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,84.0,retrofit.RestAdapterTest.Example.observable,0.0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestAdapterTest.java,retrofit.RestAdapterTest.Example,something/0,15,0,1,1,0,0,0,0,0,0,0.0,0.0,-1.0,0.0,76,15.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,77.0,retrofit.RestAdapterTest.Example.something,0.0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestAdapterTest.java,retrofit.RestAdapterTest.Example,direct/1[retrofit.Callback],1,0,1,1,0,0,1,0,0,0,0.0,0.0,-1.0,0.0,81,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,82.0,retrofit.RestAdapterTest.Example.direct,0.0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestAdapterTest.java,retrofit.RestAdapterTest.Example,streaming/0,1,0,1,1,0,0,0,0,0,0,0.0,0.0,-1.0,0.0,82,,,,,,,,,,,,,,,,retrofit.RestAdapterTest.Example.streaming,0.0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestAdapterTest.java,retrofit.RestAdapterTest.Example,something/1[retrofit.mime.TypedOutput],1,0,1,1,0,0,1,0,0,0,0.0,0.0,-1.0,0.0,78,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,79.0,retrofit.RestAdapterTest.Example.something,0.0
