file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\admin\Commands.java,org.apache.zookeeper.server.admin.Commands.ObserverCnxnStatResetCommand,1.0,0.0,2.0,0.0,0.0,1.0,2.0,innerclass,2,0,7,0.0,0.0,17,0,6,0,0,2,4
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\ServerConfigTest.java,org.apache.zookeeper.ServerConfigTest,0.0,-1.0,14.0,1.0,0.06666667,-1.0,4.0,class,1,1,5,0.47619048,0.2857143,47,0,25,0,1,7,7
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\quorum\LeaderZooKeeperServer.java,org.apache.zookeeper.server.quorum.LeaderZooKeeperServer,31.0,0.6,44.0,36.0,0.45,0.2580645,11.0,class,2,16,24,0.010526316,0.8888889,183,0,48,0,3,21,36
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\test\TestByteBufAllocator.java,org.apache.zookeeper.test.TestByteBufAllocator,0.0,0.0,7.0,1.0,0.125,-1.0,3.0,class,2,1,6,0.06666667,0.70000005,61,0,19,0,3,10,14
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\metrics\BaseTestMetricsProvider.java,org.apache.zookeeper.metrics.BaseTestMetricsProvider.MetricsProviderWithErrorInStart,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,innerclass,2,0,2,,0.0,5,0,0,0,0,1,1
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\RateLogger.java,org.apache.zookeeper.server.RateLogger,0.0,-1.0,0.0,22.0,1.0,-1.0,0.0,class,1,4,2,0.3,0.4666667,54,0,5,0,6,5,11
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\persistence\TxnLogToolkit.java,org.apache.zookeeper.server.persistence.TxnLogToolkit.TxnLogToolkitException,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,innerclass,3,0,0,1.0,0.5,11,0,1,0,2,2,2
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\test\SaslSuperUserTest.java,org.apache.zookeeper.test.SaslSuperUserTest,19.0,0.25,16.0,17.0,0.5151515,0.10526316,5.0,class,3,1,11,0.5,0.5416667,73,0,14,1,6,4,7
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\test\ReconfigTest.java,org.apache.zookeeper.test.ReconfigTest.ServerConfigLine,0.0,-1.0,2.0,8.0,0.8,-1.0,1.0,innerclass,1,0,1,1.0,0.0,50,0,13,0,4,3,12
C:\Users\sugii syuji\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\TxnLogEntry.java,org.apache.zookeeper.server.TxnLogEntry,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0,class,1,3,2,1.0,0.5,19,0,0,0,3,4,4
