,file,class,method,ATFD,ATLD,LAA,FDP,line,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
6242,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\targetthis\FlatteningMapper.java,org.mapstruct.ap.test.targetthis.FlatteningMapper.NameDTO,getName/0,0.0,1.0,1.0,0.0,100.0,1,0,1,3,1,0,0,0,0,0
6243,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\targetthis\FlatteningMapper.java,org.mapstruct.ap.test.targetthis.FlatteningMapper.NameDTO,setId/1[java.lang.String],0.0,1.0,1.0,0.0,113.0,1,0,1,4,1,0,1,0,0,0
6244,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\targetthis\FlatteningMapper.java,org.mapstruct.ap.test.targetthis.FlatteningMapper.NameDTO,setName/1[java.lang.String],0.0,1.0,1.0,0.0,104.0,1,0,1,4,1,0,1,0,0,0
6245,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\reverse\erroneous\SourceTargetMapperAmbiguous2.java,org.mapstruct.ap.test.reverse.erroneous.SourceTargetMapperAmbiguous2,forward/1[org.mapstruct.ap.test.reverse.Source],0.0,0.0,-1.0,0.0,29.0,0,0,1,1,0,0,1,0,0,0
6246,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\reverse\erroneous\SourceTargetMapperAmbiguous2.java,org.mapstruct.ap.test.reverse.erroneous.SourceTargetMapperAmbiguous2,forwardNotToReverse/1[org.mapstruct.ap.test.reverse.Source],0.0,0.0,-1.0,0.0,36.0,0,0,1,1,0,0,1,0,0,0
6247,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\reverse\erroneous\SourceTargetMapperAmbiguous2.java,org.mapstruct.ap.test.reverse.erroneous.SourceTargetMapperAmbiguous2,reverse/1[org.mapstruct.ap.test.reverse.Target],0.0,0.0,-1.0,0.0,43.0,0,0,1,1,0,0,1,0,0,0
6248,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\bugs\_1061\Issue1061Test.java,org.mapstruct.ap.test.bugs._1061.Issue1061Test,shouldCompile/0,0.0,0.0,-1.0,0.0,23.0,0,0,1,2,0,0,0,0,0,0
6249,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\updatemethods\EmployeeDto.java,org.mapstruct.ap.test.updatemethods.EmployeeDto,getName/0,0.0,1.0,1.0,0.0,16.0,2,0,1,3,1,0,0,0,0,0
6250,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\updatemethods\EmployeeDto.java,org.mapstruct.ap.test.updatemethods.EmployeeDto,setName/1[java.lang.String],0.0,1.0,1.0,0.0,20.0,1,0,1,3,0,0,1,0,0,0
6251,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\reverse\Source.java,org.mapstruct.ap.test.reverse.Source,getIntegerPropX/0,0.0,1.0,1.0,0.0,29.0,1,0,1,3,1,0,0,0,0,0
6252,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\reverse\Source.java,org.mapstruct.ap.test.reverse.Source,getPropertyToIgnoreDownstream/0,0.0,1.0,1.0,0.0,45.0,1,0,1,3,1,0,0,0,0,0
6253,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\reverse\Source.java,org.mapstruct.ap.test.reverse.Source,getSomeConstantDownstream/0,0.0,1.0,1.0,0.0,37.0,1,0,1,3,1,0,0,0,0,0
6254,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\reverse\Source.java,org.mapstruct.ap.test.reverse.Source,getStringPropX/0,0.0,1.0,1.0,0.0,21.0,1,0,1,3,1,0,0,0,0,0
6255,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\reverse\Source.java,org.mapstruct.ap.test.reverse.Source,setIntegerPropX/1[java.lang.Integer],0.0,1.0,1.0,0.0,33.0,1,0,1,3,0,0,1,0,0,0
6256,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\reverse\Source.java,org.mapstruct.ap.test.reverse.Source,setPropertyToIgnoreDownstream/1[java.lang.String],0.0,1.0,1.0,0.0,49.0,1,0,1,3,0,0,1,0,0,0
6257,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\reverse\Source.java,org.mapstruct.ap.test.reverse.Source,setSomeConstantDownstream/1[java.lang.String],0.0,1.0,1.0,0.0,41.0,0,0,1,3,0,0,1,0,0,0
6258,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\reverse\Source.java,org.mapstruct.ap.test.reverse.Source,setStringPropX/1[java.lang.String],0.0,1.0,1.0,0.0,25.0,1,0,1,3,0,0,1,0,0,0
6259,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\conversion\JodaLocalDateTimeToStringConversion.java,org.mapstruct.ap.internal.conversion.JodaLocalDateTimeToStringConversion,formatStyle/0,1.0,0.0,0.0,1.0,18.0,0,0,1,3,1,0,0,0,0,0
6260,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\conversion\JodaLocalDateTimeToStringConversion.java,org.mapstruct.ap.internal.conversion.JodaLocalDateTimeToStringConversion,parseMethod/0,0.0,0.0,-1.0,0.0,23.0,0,0,1,3,1,0,0,0,0,0
6261,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\bugs\_1269\dto\VehicleImageDto.java,org.mapstruct.ap.test.bugs._1269.dto.VehicleImageDto,getPictureSize/0,0.0,1.0,1.0,0.0,17.0,0,0,1,3,1,0,0,0,0,0
6262,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\bugs\_1269\dto\VehicleImageDto.java,org.mapstruct.ap.test.bugs._1269.dto.VehicleImageDto,getSrc/0,0.0,1.0,1.0,0.0,25.0,0,0,1,3,1,0,0,0,0,0
6263,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\bugs\_1269\dto\VehicleImageDto.java,org.mapstruct.ap.test.bugs._1269.dto.VehicleImageDto,setPictureSize/1[java.lang.Integer],0.0,1.0,1.0,0.0,21.0,0,0,1,3,0,0,1,0,0,0
6264,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\bugs\_1269\dto\VehicleImageDto.java,org.mapstruct.ap.test.bugs._1269.dto.VehicleImageDto,setSrc/1[java.lang.String],0.0,1.0,1.0,0.0,29.0,0,0,1,3,0,0,1,0,0,0
6265,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\source\defaultExpressions\java\ErroneousDefaultExpressionMapper.java,org.mapstruct.ap.test.source.defaultExpressions.java.ErroneousDefaultExpressionMapper,sourceToTarget/1[org.mapstruct.ap.test.source.defaultExpressions.java.Source],0.0,0.0,-1.0,0.0,25.0,0,0,1,1,0,0,1,0,0,0
6266,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\mappingcontrol\ErroneousComplexMapper.java,org.mapstruct.ap.test.mappingcontrol.ErroneousComplexMapper,map/1[org.mapstruct.ap.test.mappingcontrol.FridgeDTO],0.0,0.0,-1.0,0.0,18.0,0,0,1,1,0,0,1,0,0,0
6267,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\mappingcontrol\ErroneousComplexMapper.java,org.mapstruct.ap.test.mappingcontrol.ErroneousComplexMapper,toBeerCount/1[org.mapstruct.ap.test.mappingcontrol.ShelveDTO],2.0,0.0,0.0,2.0,20.0,0,2,1,3,1,0,1,0,0,0
