file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\sugii syuji\gitProject\redisson\redisson\src\main\java\org\redisson\client\protocol\convertor\StreamIdConvertor.java,org.redisson.client.protocol.convertor.StreamIdConvertor,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,class,1,6,3,,1.0,7,0,3,0,1,1,1
C:\Users\sugii syuji\gitProject\redisson\redisson\src\test\java\org\redisson\RedissonLocalCachedMapTest.java,org.redisson.RedissonLocalCachedMapTest.5,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,anonymous,1,0,0,,0.0,9,0,5,0,0,1,1
C:\Users\sugii syuji\gitProject\redisson\redisson\src\main\java\org\redisson\mapreduce\MapReduceTimeoutException.java,org.redisson.mapreduce.MapReduceTimeoutException,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,class,5,2,1,-1.0,,3,0,0,0,1,0,0
C:\Users\sugii syuji\gitProject\redisson\redisson\src\main\java\org\redisson\RedissonSetCache.java,org.redisson.RedissonSetCache.1,7.0,1.0,1.0,0.0,0.0,0.0,1.0,anonymous,1,0,4,0.0,0.0,8,0,3,0,0,2,2
C:\Users\sugii syuji\gitProject\redisson\redisson\src\test\java\org\redisson\RedissonDoubleAdderTest.java,org.redisson.RedissonDoubleAdderTest,2.0,0.0,6.0,0.0,0.0,0.0,1.0,class,2,0,3,0.0,0.0,25,0,7,0,0,2,2
C:\Users\sugii syuji\gitProject\redisson\redisson\src\main\java\org\redisson\connection\ClientConnectionsEntry.java,org.redisson.connection.ClientConnectionsEntry,0.0,-1.0,27.0,21.0,0.4375,-1.0,10.0,class,1,19,13,1.0,0.86153847,182,0,43,1,13,30,43
C:\Users\sugii syuji\gitProject\redisson\redisson\src\main\java\org\redisson\rx\RedissonMapRxIterator.java,org.redisson.rx.RedissonMapRxIterator,0.0,-1.0,25.0,3.0,0.10714286,-1.0,5.0,class,1,1,7,0.0,0.75,75,0,4,0,3,4,4
C:\Users\sugii syuji\gitProject\redisson\redisson\src\main\java\org\redisson\RedissonRedLock.java,org.redisson.RedissonRedLock,5.0,0.75,0.0,2.0,1.0,0.2,0.0,class,2,9,3,0.0,0.0,17,0,4,0,0,5,5
C:\Users\sugii syuji\gitProject\redisson\redisson\src\main\java\org\redisson\executor\CronExpression.java,org.redisson.executor.CronExpression,0.0,-1.0,270.0,191.0,0.4143167,-1.0,5.0,class,1,2,2,0.09848485,0.89393926,1170,0,70,0,30,33,352
C:\Users\sugii syuji\gitProject\redisson\redisson\src\main\java\org\redisson\client\protocol\decoder\StreamGroupInfoDecoder.java,org.redisson.client.protocol.decoder.StreamGroupInfoDecoder,0.0,-1.0,4.0,0.0,0.0,-1.0,1.0,class,1,1,4,,0.0,5,0,3,0,0,1,1
