file,class,type,dit_x,fanin_x,fanout_x,lcc_x,lcom*_x,loc_x,noc_x,rfc_x,innerClassesQty_x,totalFieldsQty_x,totalMethodsQty_x,wmc_x,NprotM_x,BOvR_x,ATFD_x,ATLD_x,LAA_x,BUR_x,FDP_x,line_x,dit_y,fanin_y,fanout_y,lcc_y,lcom*_y,loc_y,noc_y,rfc_y,innerClassesQty_y,totalFieldsQty_y,totalMethodsQty_y,wmc_y,NprotM_y,BOvR_y,ATFD_y,ATLD_y,LAA_y,BUR_y,FDP_y,line_y,GodClass
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\cursor_simple\MysqlCursorTest.java,org.apache.ibatis.submitted.cursor_simple.MysqlCursorTest,class,1,0,11,1.0,0.0,35,0,16,0,1,3,3,0,-1.0,15,1,0.0625,-1.0,8,38,1.0,0.0,11.0,1.0,0.0,35.0,0.0,16.0,0.0,1.0,3.0,3.0,0.0,-1.0,15.0,1.0,0.0625,-1.0,8.0,38.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\multipleiterates\User.java,org.apache.ibatis.submitted.multipleiterates.User,class,1,2,0,0.14285715,0.75,30,0,0,0,4,8,8,0,-1.0,0,8,1.0,-1.0,0,18,1.0,2.0,0.0,0.14285715,0.75,30.0,0.0,0.0,0.0,4.0,8.0,8.0,0.0,-1.0,0.0,8.0,1.0,-1.0,0.0,18.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\logging\jdbc\PreparedStatementLoggerTest.java,org.apache.ibatis.logging.jdbc.PreparedStatementLoggerTest,class,1,0,6,1.0,0.25,37,0,19,0,4,5,5,0,-1.0,7,9,0.5625,-1.0,3,38,1.0,0.0,6.0,1.0,0.25,37.0,0.0,19.0,0.0,4.0,5.0,5.0,0.0,-1.0,7.0,9.0,0.5625,-1.0,3.0,38.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\global_variables_defaults\CustomizationTest.java,org.apache.ibatis.submitted.global_variables_defaults.CustomizationTest.CustomDefaultValueSeparatorMapper,interface,1,0,5,,0.0,3,0,0,0,0,1,1,0,-1.0,0,0,-1.0,-1.0,0,105,1.0,0.0,5.0,,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,105.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\bringrags\SimpleChildObject.java,org.apache.ibatis.submitted.bringrags.SimpleChildObject,class,1,3,1,0.33333334,0.5,13,0,0,0,2,3,3,0,-1.0,0,3,1.0,-1.0,0,18,1.0,3.0,1.0,0.33333334,0.5,13.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0,18.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\member_access\MemberAccessTest.java,org.apache.ibatis.submitted.member_access.MemberAccessTest.Immutable,innerclass,1,0,0,1.0,0.0,21,0,1,0,1,4,4,0,-1.0,0,0,-1.0,-1.0,0,360,1.0,0.0,0.0,1.0,0.0,21.0,0.0,1.0,0.0,1.0,4.0,4.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,360.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\lazyload_proxyfactory_comparison\UserWithGetXxxWithInterface.java,org.apache.ibatis.submitted.lazyload_proxyfactory_comparison.UserWithGetXxxWithInterface,class,1,2,2,0.14285715,0.7142857,26,0,0,0,3,7,7,0,-1.0,0,6,1.0,-1.0,0,18,1.0,2.0,2.0,0.14285715,0.7142857,26.0,0.0,0.0,0.0,3.0,7.0,7.0,0.0,-1.0,0.0,6.0,1.0,-1.0,0.0,18.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\domain\blog\Blog.java,org.apache.ibatis.domain.blog.Blog,class,1,8,2,0.8181818,0.6590909,42,0,0,0,4,11,11,0,-1.0,0,15,1.0,-1.0,0,20,1.0,8.0,2.0,0.8181818,0.6590909,42.0,0.0,0.0,0.0,4.0,11.0,11.0,0.0,-1.0,0.0,15.0,1.0,-1.0,0.0,20.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\dynsql2\FirstNameTypeHandler.java,org.apache.ibatis.submitted.dynsql2.FirstNameTypeHandler,class,1,0,3,0.0,0.0,20,0,6,0,0,4,5,0,-1.0,7,0,0.0,-1.0,5,23,1.0,0.0,3.0,0.0,0.0,20.0,0.0,6.0,0.0,0.0,4.0,5.0,0.0,-1.0,7.0,0.0,0.0,-1.0,5.0,23.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\logging\jdbc\ResultSetLogger.java,org.apache.ibatis.logging.jdbc.ResultSetLogger,class,2,3,4,0.5,0.6666666,86,0,23,0,5,6,18,15,0.0,17,7,0.29166666,0.26666668,5,39,2.0,3.0,4.0,0.5,0.6666666,86.0,0.0,23.0,0.0,5.0,6.0,18.0,15.0,0.0,17.0,7.0,0.29166666,0.26666668,5.0,39.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\executor\ExecutorException.java,org.apache.ibatis.executor.ExecutorException,class,6,17,1,0.0,1.0,15,1,0,0,1,4,4,0,0.0,0,0,-1.0,-1.0,0,23,6.0,17.0,1.0,0.0,1.0,15.0,1.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,23.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\blobtest\BlobRecord.java,org.apache.ibatis.submitted.blobtest.BlobRecord,class,1,2,1,1.0,0.25,25,0,0,0,2,4,5,0,-1.0,2,6,0.75,-1.0,1,18,1.0,2.0,1.0,1.0,0.25,25.0,0.0,0.0,0.0,2.0,4.0,5.0,0.0,-1.0,2.0,6.0,0.75,-1.0,1.0,18.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\builder\annotation\MethodResolver.java,org.apache.ibatis.builder.annotation.MethodResolver,class,1,2,1,1.0,0.0,11,0,1,0,2,2,2,0,-1.0,0,3,1.0,-1.0,0,23,1.0,2.0,1.0,1.0,0.0,11.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0,23.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\foreach_map\MapParam.java,org.apache.ibatis.submitted.foreach_map.MapParam,class,1,1,0,1.0,0.5,9,0,0,0,1,2,2,0,-1.0,0,2,1.0,-1.0,0,21,1.0,1.0,0.0,1.0,0.5,9.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0,21.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\foreach\User.java,org.apache.ibatis.submitted.foreach.User,class,1,3,1,0.14285715,0.75,30,0,0,0,4,8,8,0,-1.0,0,8,1.0,-1.0,0,20,1.0,3.0,1.0,0.14285715,0.75,30.0,0.0,0.0,0.0,4.0,8.0,8.0,0.0,-1.0,0.0,8.0,1.0,-1.0,0.0,20.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\javassist\User.java,org.apache.ibatis.submitted.javassist.User,class,1,2,1,0.2,0.6666667,23,0,0,0,3,6,6,0,-1.0,0,6,1.0,-1.0,0,20,1.0,2.0,1.0,0.2,0.6666667,23.0,0.0,0.0,0.0,3.0,6.0,6.0,0.0,-1.0,0.0,6.0,1.0,-1.0,0.0,20.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\session\SqlSessionManager.java,org.apache.ibatis.session.SqlSessionManager.SqlSessionInterceptor,innerclass,1,0,3,0.0,0.0,28,0,6,0,0,2,5,0,-1.0,1,0,0.0,-1.0,1,340,1.0,0.0,3.0,0.0,0.0,28.0,0.0,6.0,0.0,0.0,2.0,5.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,340.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\global_variables\Mapper.java,org.apache.ibatis.submitted.global_variables.Mapper,interface,1,1,1,,0.0,3,0,0,0,0,1,1,0,-1.0,0,0,-1.0,-1.0,0,18,1.0,1.0,1.0,,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,18.0,0.0
