file,class,type,dit_x,fanin_x,fanout_x,lcc_x,lcom*_x,loc_x,noc_x,rfc_x,innerClassesQty_x,totalFieldsQty_x,totalMethodsQty_x,wmc_x,NprotM_x,BOvR_x,ATFD_x,ATLD_x,LAA_x,BUR_x,FDP_x,line_x,dit_y,fanin_y,fanout_y,lcc_y,lcom*_y,loc_y,noc_y,rfc_y,innerClassesQty_y,totalFieldsQty_y,totalMethodsQty_y,wmc_y,NprotM_y,BOvR_y,ATFD_y,ATLD_y,LAA_y,BUR_y,FDP_y,line_y,RefusedBequest
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState.66,anonymous,1,0,2,,0.0,17,0,3,0,0,1,3,0.0,1.0,0.0,3.0,1.0,-1.0,0.0,1595,1.0,0.0,2.0,,0.0,17.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,3.0,1.0,-1.0,0.0,1600.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\parser\TreeBuilder.java,org.jsoup.parser.TreeBuilder,class,1,21,18,0.4945055,0.79999995,87,2,23,0,10,14,23,0.0,-1.0,6.0,21.0,0.7777778,-1.0,4.0,18,1.0,22.0,18.0,0.46153846,0.8,82.0,2.0,20.0,0.0,10.0,13.0,20.0,0.0,-1.0,6.0,20.0,0.7692308,-1.0,4.0,17.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState.67,anonymous,1,0,3,,0.0,10,0,7,0,0,1,3,0.0,1.0,0.0,1.0,1.0,-1.0,0.0,1613,1.0,0.0,3.0,,0.0,10.0,0.0,7.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,-1.0,0.0,1618.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\nodes\PseudoTextElement.java,org.jsoup.nodes.PseudoTextElement,class,3,1,4,0.0,0.0,9,0,0,0,0,3,3,15.0,1.0,0.0,0.0,-1.0,0.0,0.0,9,3.0,1.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,3.0,15.0,1.0,0.0,0.0,-1.0,0.0,0.0,9.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState.1,anonymous,1,0,3,,0.0,23,0,8,0,0,1,6,0.0,1.0,0.0,4.0,1.0,-1.0,0.0,9,1.0,0.0,3.0,,0.0,23.0,0.0,8.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,4.0,1.0,-1.0,0.0,9.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\test\java\org\jsoup\integration\servlets\CookieServlet.java,org.jsoup.integration.servlets.CookieServlet,class,3,1,7,0.0,0.8666666,46,0,17,0,3,5,9,3.0,0.6,13.0,4.0,0.23529412,0.0,3.0,12,3.0,1.0,7.0,0.0,0.8666666,46.0,0.0,17.0,0.0,3.0,5.0,9.0,3.0,0.6,13.0,4.0,0.23529412,0.0,3.0,12.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\test\java\org\jsoup\nodes\CommentTest.java,org.jsoup.nodes.CommentTest,class,1,0,8,0.71428573,0.5,42,0,21,0,2,7,7,0.0,-1.0,7.0,1.0,0.125,-1.0,1.0,8,1.0,0.0,8.0,0.71428573,0.5,42.0,0.0,21.0,0.0,2.0,7.0,7.0,0.0,-1.0,7.0,1.0,0.125,-1.0,1.0,8.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\parser\Parser.java,org.jsoup.parser.Parser,class,1,38,11,0.26190478,0.6818182,96,0,18,0,3,22,26,0.0,-1.0,3.0,16.0,0.84210527,-1.0,3.0,15,1.0,36.0,11.0,0.26190478,0.6818182,96.0,0.0,18.0,0.0,3.0,22.0,26.0,0.0,-1.0,3.0,16.0,0.84210527,-1.0,3.0,15.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\main\java\org\jsoup\select\Evaluator.java,org.jsoup.select.Evaluator.IsEmpty,innerclass,2,0,6,0.0,0.0,12,0,1,0,0,2,6,0.0,0.5,0.0,0.0,-1.0,-1.0,0.0,633,2.0,0.0,6.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,0.5,0.0,0.0,-1.0,-1.0,0.0,633.0,0.0
C:\Users\syuuj\gitProject\jsoup\src\test\java\org\jsoup\integration\FuzzFixesTest.java,org.jsoup.integration.FuzzFixesTest,class,1,0,6,0.0,0.0,28,0,9,0,0,5,6,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,21,1.0,0.0,5.0,0.0,0.0,36.0,0.0,6.0,0.0,0.0,6.0,6.0,0.0,-1.0,5.0,0.0,0.0,-1.0,1.0,17.0,0.0
