file,class_x,method_x,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty,line,class_y,method_y,ATFD,ATLD,LAA,FDP
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\C3P0.java,ysoserial.payloads.C3P0$PoolSource,getPooledConnection/0,0,0,1,3,1,0,0,0,0,0,81,ysoserial.payloads.C3P0$PoolSource,getPooledConnection/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\C3P0.java,ysoserial.payloads.C3P0$PoolSource,getLoginTimeout/0,0,0,1,3,1,0,0,0,0,0,79,ysoserial.payloads.C3P0$PoolSource,getLoginTimeout/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\C3P0.java,ysoserial.payloads.C3P0$PoolSource,"getPooledConnection/2[java.lang.String,java.lang.String]",0,0,1,3,1,0,2,0,0,0,82,ysoserial.payloads.C3P0$PoolSource,"getPooledConnection/2[java.lang.String,java.lang.String]",0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\C3P0.java,ysoserial.payloads.C3P0$PoolSource,getLogWriter/0,0,0,1,3,1,0,0,0,0,0,76,ysoserial.payloads.C3P0$PoolSource,getLogWriter/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\C3P0.java,ysoserial.payloads.C3P0$PoolSource,getReference/0,0,0,1,3,1,0,0,0,0,0,72,ysoserial.payloads.C3P0$PoolSource,getReference/0,0.0,2.0,1.0,0.0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\MyfacesTest.java,ysoserial.payloads.MyfacesTest$MyfacesDeserializer$MockRequestContext,answer/1[ysoserial.payloads.InvocationOnMock],0,0,3,10,3,0,1,0,0,0,66,ysoserial.payloads.MyfacesTest$MyfacesDeserializer$MockRequestContext,answer/1[org.mockito.invocation.InvocationOnMock],13.0,0.0,0.0,5.0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\ObjectPayload.java,ysoserial.payloads.ObjectPayload$Utils,getPayloadClass/1[java.lang.String],4,0,6,19,2,1,1,0,0,0,39,ysoserial.payloads.ObjectPayload$Utils,getPayloadClass/1[java.lang.String],2.0,0.0,0.0,2.0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\ObjectPayload.java,ysoserial.payloads.ObjectPayload$Utils,"releasePayload/2[ysoserial.payloads.ObjectPayload,java.lang.Object]",4,1,2,5,0,0,2,0,0,0,79,ysoserial.payloads.ObjectPayload$Utils,"releasePayload/2[ysoserial.payloads.ObjectPayload,java.lang.Object]",0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\ObjectPayload.java,ysoserial.payloads.ObjectPayload$Utils,"makePayloadObject/2[java.lang.String,java.lang.String]",6,2,4,15,1,3,2,0,0,0,59,ysoserial.payloads.ObjectPayload$Utils,"makePayloadObject/2[java.lang.String,java.lang.String]",1.0,1.0,0.5,1.0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\ObjectPayload.java,ysoserial.payloads.ObjectPayload$Utils,getPayloadClasses/0,2,0,4,11,1,4,0,1,0,0,25,ysoserial.payloads.ObjectPayload$Utils,getPayloadClasses/0,5.0,0.0,0.0,4.0
