file,class,method,fanin_x,fanout_x,wmc_x,loc_x,returnsQty_x,variablesQty_x,parametersQty_x,loopQty_x,anonymousClassesQty_x,innerClassesQty_x,ATFD_x,ATLD_x,LAA_x,FDP_x,line_x,fanin_y,fanout_y,wmc_y,loc_y,returnsQty_y,variablesQty_y,parametersQty_y,loopQty_y,anonymousClassesQty_y,innerClassesQty_y,ATFD_y,ATLD_y,LAA_y,FDP_y,line_y
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,reset/0,2,1,1,11,0,0,0,0,0,0,0.0,8.0,1.0,0.0,340,2,1,1,11,0,0,0,0,0,0,0.0,8.0,1.0,0.0,340
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,AnalyzeContext/1[org.wltea.analyzer.cfg.Configuration],1,1,1,9,0,0,1,0,0,0,0.0,9.0,1.0,0.0,79,1,1,1,9,0,0,1,0,0,0,0.0,9.0,1.0,0.0,79
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,addLexeme/1[org.wltea.analyzer.core.Lexeme],6,1,1,3,0,0,1,0,0,0,0.0,0.0,-1.0,0.0,225,6,1,1,3,0,0,1,0,0,0,0.0,0.0,-1.0,0.0,225
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,getBufferOffset/0,6,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,105,6,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,105
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,addLexemePath/1[org.wltea.analyzer.core.LexemePath],1,1,2,5,0,0,1,0,0,0,1.0,0.0,0.0,1.0,234,1,1,2,5,0,0,1,0,0,0,1.0,0.0,0.0,1.0,234
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,isBufferConsumed/0,6,0,2,3,1,0,0,0,0,0,0.0,2.0,1.0,0.0,193,6,0,2,3,1,0,0,0,0,0,0.0,2.0,1.0,0.0,193
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Hit.java,org.wltea.analyzer.dic.Hit,setUnmatch/0,1,0,1,3,0,0,0,0,0,0,0.0,2.0,1.0,0.0,89,1,0,1,3,0,0,0,0,0,0,0.0,2.0,1.0,0.0,89
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Hit.java,org.wltea.analyzer.dic.Hit,getBegin/0,2,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,101,2,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,101
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Hit.java,org.wltea.analyzer.dic.Hit,setPrefix/0,1,0,1,3,0,0,0,0,0,0,0.0,3.0,1.0,0.0,77,1,0,1,3,0,0,0,0,0,0,0.0,3.0,1.0,0.0,77
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Hit.java,org.wltea.analyzer.dic.Hit,isUnmatch/0,2,0,2,3,1,0,0,0,0,0,0.0,2.0,1.0,0.0,83,2,0,2,3,1,0,0,0,0,0,0.0,2.0,1.0,0.0,83
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Hit.java,org.wltea.analyzer.dic.Hit,getEnd/0,0,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,109,0,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,109
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Hit.java,org.wltea.analyzer.dic.Hit,isMatch/0,3,0,2,3,1,0,0,0,0,0,0.0,2.0,1.0,0.0,58,3,0,2,3,1,0,0,0,0,0,0.0,2.0,1.0,0.0,58
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Hit.java,org.wltea.analyzer.dic.Hit,setBegin/1[int],1,0,1,3,0,0,1,0,0,0,0.0,1.0,1.0,0.0,105,1,0,1,3,0,0,1,0,0,0,0.0,1.0,1.0,0.0,105
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Hit.java,org.wltea.analyzer.dic.Hit,getMatchedDictSegment/0,1,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,93,1,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,93
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Hit.java,org.wltea.analyzer.dic.Hit,setMatch/0,1,0,1,3,0,0,0,0,0,0,0.0,3.0,1.0,0.0,64,1,0,1,3,0,0,0,0,0,0,0.0,3.0,1.0,0.0,64
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Hit.java,org.wltea.analyzer.dic.Hit,setEnd/1[int],1,0,1,3,0,0,1,0,0,0,0.0,1.0,1.0,0.0,113,1,0,1,3,0,0,1,0,0,0,0.0,1.0,1.0,0.0,113
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Hit.java,org.wltea.analyzer.dic.Hit,isPrefix/0,2,0,2,3,1,0,0,0,0,0,0.0,2.0,1.0,0.0,71,2,0,2,3,1,0,0,0,0,0,0.0,2.0,1.0,0.0,71
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\dic\Hit.java,org.wltea.analyzer.dic.Hit,setMatchedDictSegment/1[org.wltea.analyzer.dic.DictSegment],1,0,1,3,0,0,1,0,0,0,0.0,1.0,1.0,0.0,97,1,0,1,3,0,0,1,0,0,0,0.0,1.0,1.0,0.0,97
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\CharacterUtil.java,org.wltea.analyzer.core.CharacterUtil,identifyCharType/1[char],2,0,17,18,5,1,1,0,0,0,10.0,5.0,0.33333334,1.0,50,2,0,17,18,5,1,1,0,0,0,10.0,5.0,0.33333334,1.0,50
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\CharacterUtil.java,org.wltea.analyzer.core.CharacterUtil,"regularize/2[char,boolean]",2,0,7,12,1,0,2,0,0,0,0.0,0.0,-1.0,0.0,89,2,0,7,12,1,0,2,0,0,0,0.0,0.0,-1.0,0.0,89
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\elasticsearch\index\analysis\IkAnalyzerProvider.java,org.elasticsearch.index.analysis.IkAnalyzerProvider,get/0,0,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,28,0,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,28
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\elasticsearch\index\analysis\IkAnalyzerProvider.java,org.elasticsearch.index.analysis.IkAnalyzerProvider,"getIkSmartAnalyzerProvider/4[org.elasticsearch.index.analysis.IndexSettings,org.elasticsearch.index.analysis.Environment,java.lang.String,org.elasticsearch.index.analysis.Settings]",0,1,1,3,1,0,4,0,0,0,0.0,0.0,-1.0,0.0,20,0,1,1,3,1,0,4,0,0,0,0.0,0.0,-1.0,0.0,20
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\elasticsearch\index\analysis\IkAnalyzerProvider.java,org.elasticsearch.index.analysis.IkAnalyzerProvider,"getIkAnalyzerProvider/4[org.elasticsearch.index.analysis.IndexSettings,org.elasticsearch.index.analysis.Environment,java.lang.String,org.elasticsearch.index.analysis.Settings]",0,1,1,3,1,0,4,0,0,0,0.0,0.0,-1.0,0.0,24,0,1,1,3,1,0,4,0,0,0,0.0,0.0,-1.0,0.0,24
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\elasticsearch\index\analysis\IkAnalyzerProvider.java,org.elasticsearch.index.analysis.IkAnalyzerProvider,"IkAnalyzerProvider/5[org.elasticsearch.index.analysis.IndexSettings,org.elasticsearch.index.analysis.Environment,java.lang.String,org.elasticsearch.index.analysis.Settings,boolean]",2,3,1,5,0,1,5,0,0,0,1.0,1.0,0.5,1.0,12,2,3,1,5,0,1,5,0,0,0,1.0,1.0,0.5,1.0,12
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\QuickSortSet.java,org.wltea.analyzer.core.QuickSortSet,QuickSortSet/0,2,0,1,3,0,0,0,0,0,0,0.0,1.0,1.0,0.0,38,2,0,1,3,0,0,0,0,0,0,0.0,1.0,1.0,0.0,38
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\QuickSortSet.java,org.wltea.analyzer.core.QuickSortSet,pollFirst/0,2,0,3,18,3,2,0,0,0,0,3.0,7.0,0.7,1.0,109,2,0,3,18,3,2,0,0,0,0,3.0,7.0,0.7,1.0,109
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\QuickSortSet.java,org.wltea.analyzer.core.QuickSortSet,peekFirst/0,1,0,2,6,2,0,0,0,0,0,1.0,1.0,0.5,1.0,98,2,0,2,6,2,0,0,0,0,0,1.0,1.0,0.5,1.0,98
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\QuickSortSet.java,org.wltea.analyzer.core.QuickSortSet,addLexeme/1[org.wltea.analyzer.core.Lexeme],4,2,9,46,7,2,1,1,0,0,10.0,12.0,0.54545456,1.0,46,4,2,9,46,7,2,1,1,0,0,10.0,12.0,0.54545456,1.0,46
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\QuickSortSet.java,org.wltea.analyzer.core.QuickSortSet,pollLast/0,1,0,3,18,3,2,0,0,0,0,3.0,7.0,0.7,1.0,141,1,0,3,18,3,2,0,0,0,0,3.0,7.0,0.7,1.0,141
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\QuickSortSet.java,org.wltea.analyzer.core.QuickSortSet,isEmpty/0,4,0,2,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,172,4,0,2,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,172
C:\Users\syuuj\gitProject\analysis-ik\src\main\java\org\wltea\analyzer\core\QuickSortSet.java,org.wltea.analyzer.core.QuickSortSet,size/0,2,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,164,2,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,164
