file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP,line,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest.62Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,1086,innerclass,1,0,3,,0.0,5,0,0,0,0,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RxSupportTest.java,retrofit.RxSupportTest.QueuedSynchronousExecutor,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,147,innerclass,1,0,0,1.0,0.0,17,0,7,0,1,3,4
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest.13Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,252,innerclass,1,0,4,,0.0,5,0,0,0,0,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest.23Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,417,innerclass,1,0,2,,0.0,5,0,0,0,0,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest.54Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,946,innerclass,1,0,3,,0.0,5,0,0,0,0,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestAdapterTest.java,retrofit.RestAdapterTest.InvalidExample,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,86,interface,1,0,1,-1.0,0.0,2,0,0,0,0,0,0
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\RequestInterceptorTape.java,retrofit.RequestInterceptorTape.Command,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,40,enum,1,0,1,,0.0,27,0,0,0,0,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\RestAdapter.java,retrofit.RestAdapter.Log,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,115,interface,1,0,1,,0.0,8,0,0,0,1,1,1
C:\Users\syuuj\gitProject\retrofit\retrofit\src\main\java\retrofit\Types.java,retrofit.Types.ParameterizedTypeImpl,0.0,-1.0,4.0,11.0,0.73333335,-1.0,2.0,285,innerclass,1,0,1,0.71428573,0.47619048,42,0,10,0,3,7,13
C:\Users\syuuj\gitProject\retrofit\retrofit\src\test\java\retrofit\RestMethodInfoTest.java,retrofit.RestMethodInfoTest.12Example,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,237,innerclass,1,0,2,,0.0,5,0,0,0,0,1,1
