file,class,method,fanin_x,fanout_x,wmc_x,loc_x,returnsQty_x,variavlesQty_x,parametersQty_x,loopQty_x,anonymousClassesQty_x,innerClassesQty_x,ATFD_x,ATLD_x,LAA_x,FDP_x,line_x,fanin_y,fanout_y,wmc_y,loc_y,returnsQty_y,variavlesQty_y,parametersQty_y,loopQty_y,anonymousClassesQty_y,innerClassesQty_y,ATFD_y,ATLD_y,LAA_y,FDP_y,line_y
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\catalog\product\attribute\ProductOptionValueService.java,com.salesmanager.core.business.services.catalog.product.attribute.ProductOptionValueService,"getByCode/2[com.salesmanager.core.business.services.catalog.product.attribute.MerchantStore,java.lang.String]",0,0,1,1,0,,2,0,0,0,0.0,0.0,-1.0,0.0,27,0.0,0.0,1.0,1.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,27.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\catalog\product\attribute\ProductOptionValueService.java,com.salesmanager.core.business.services.catalog.product.attribute.ProductOptionValueService,"getById/2[com.salesmanager.core.business.services.catalog.product.attribute.MerchantStore,java.lang.Long]",0,0,1,1,0,,2,0,0,0,0.0,0.0,-1.0,0.0,29,0.0,0.0,1.0,1.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,29.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\catalog\product\attribute\ProductOptionValueService.java,com.salesmanager.core.business.services.catalog.product.attribute.ProductOptionValueService,"getByMerchant/5[com.salesmanager.core.business.services.catalog.product.attribute.MerchantStore,com.salesmanager.core.business.services.catalog.product.attribute.Language,java.lang.String,int,int]",0,0,1,1,0,,5,0,0,0,0.0,0.0,-1.0,0.0,31,0.0,0.0,1.0,1.0,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,31.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\catalog\product\attribute\ProductOptionValueService.java,com.salesmanager.core.business.services.catalog.product.attribute.ProductOptionValueService,"getByName/3[com.salesmanager.core.business.services.catalog.product.attribute.MerchantStore,java.lang.String,com.salesmanager.core.business.services.catalog.product.attribute.Language]",0,0,1,1,0,,3,0,0,0,0.0,0.0,-1.0,0.0,17,0.0,0.0,1.0,1.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,17.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\catalog\product\attribute\ProductOptionValueService.java,com.salesmanager.core.business.services.catalog.product.attribute.ProductOptionValueService,"listByStore/2[com.salesmanager.core.business.services.catalog.product.attribute.MerchantStore,com.salesmanager.core.business.services.catalog.product.attribute.Language]",0,0,1,1,0,,2,0,0,0,0.0,0.0,-1.0,0.0,21,0.0,0.0,1.0,1.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,21.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\catalog\product\attribute\ProductOptionValueService.java,com.salesmanager.core.business.services.catalog.product.attribute.ProductOptionValueService,"listByStoreNoReadOnly/2[com.salesmanager.core.business.services.catalog.product.attribute.MerchantStore,com.salesmanager.core.business.services.catalog.product.attribute.Language]",0,0,1,1,0,,2,0,0,0,0.0,0.0,-1.0,0.0,24,0.0,0.0,1.0,1.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,24.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\catalog\product\attribute\ProductOptionValueService.java,com.salesmanager.core.business.services.catalog.product.attribute.ProductOptionValueService,saveOrUpdate/1[com.salesmanager.core.model.catalog.product.attribute.ProductOptionValue],4,0,1,1,0,,1,0,0,0,0.0,0.0,-1.0,0.0,15,4.0,0.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,15.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\catalog\product\availability\ProductAvailabilityService.java,com.salesmanager.core.business.services.catalog.product.availability.ProductAvailabilityService,count/1[com.salesmanager.core.model.catalog.product.Product],0,0,1,1,0,,1,0,0,0,0.0,0.0,-1.0,0.0,27,0.0,0.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,25.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\catalog\product\availability\ProductAvailabilityService.java,com.salesmanager.core.business.services.catalog.product.availability.ProductAvailabilityService,"getById/2[java.lang.Long,com.salesmanager.core.business.services.catalog.product.availability.MerchantStore]",0,0,1,1,0,,2,0,0,0,0.0,0.0,-1.0,0.0,21,0.0,0.0,1.0,1.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,19.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\catalog\product\availability\ProductAvailabilityService.java,com.salesmanager.core.business.services.catalog.product.availability.ProductAvailabilityService,"getByInventoryId/3[java.lang.Long,java.lang.Long,com.salesmanager.core.business.services.catalog.product.availability.MerchantStore]",0,0,1,1,0,,3,0,0,0,0.0,0.0,-1.0,0.0,23,0.0,0.0,1.0,1.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,21.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\catalog\product\availability\ProductAvailabilityService.java,com.salesmanager.core.business.services.catalog.product.availability.ProductAvailabilityService,"getByOwner/2[com.salesmanager.core.model.catalog.product.Product,java.lang.String]",0,0,1,1,0,,2,0,0,0,0.0,0.0,-1.0,0.0,25,0.0,0.0,1.0,1.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,23.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\catalog\product\availability\ProductAvailabilityService.java,com.salesmanager.core.business.services.catalog.product.availability.ProductAvailabilityService,"getByStore/2[com.salesmanager.core.model.catalog.product.Product,com.salesmanager.core.business.services.catalog.product.availability.MerchantStore]",0,0,1,1,0,,2,0,0,0,0.0,0.0,-1.0,0.0,19,0.0,0.0,1.0,1.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,17.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\catalog\product\availability\ProductAvailabilityService.java,com.salesmanager.core.business.services.catalog.product.availability.ProductAvailabilityService,"listByProduct/5[com.salesmanager.core.model.catalog.product.Product,com.salesmanager.core.business.services.catalog.product.availability.MerchantStore,java.lang.String,int,int]",0,0,1,1,0,,5,0,0,0,0.0,0.0,-1.0,0.0,17,0.0,0.0,1.0,1.0,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,15.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\catalog\product\availability\ProductAvailabilityService.java,com.salesmanager.core.business.services.catalog.product.availability.ProductAvailabilityService,saveOrUpdate/1[com.salesmanager.core.model.catalog.product.availability.ProductAvailability],0,0,1,1,0,,1,0,0,0,0.0,0.0,-1.0,0.0,15,0.0,0.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,13.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\configuration\ProcessorsConfiguration.java,com.salesmanager.core.business.configuration.ProcessorsConfiguration,orderPostProcessors/0,0,0,1,3,1,,0,0,0,0,0.0,0.0,-1.0,0.0,53,0.0,0.0,1.0,4.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,54.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\configuration\ProcessorsConfiguration.java,com.salesmanager.core.business.configuration.ProcessorsConfiguration,orderPreProcessors/0,0,0,1,3,1,,0,0,0,0,0.0,0.0,-1.0,0.0,48,0.0,0.0,1.0,4.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,48.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\configuration\ProcessorsConfiguration.java,com.salesmanager.core.business.configuration.ProcessorsConfiguration,orderTotalsPostProcessors/0,0,0,1,5,1,,0,0,0,0,0.0,1.0,1.0,0.0,74,0.0,0.0,1.0,5.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,77.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\configuration\ProcessorsConfiguration.java,com.salesmanager.core.business.configuration.ProcessorsConfiguration,shoppingCartPostProcessors/0,0,0,1,3,1,,0,0,0,0,0.0,0.0,-1.0,0.0,63,0.0,0.0,1.0,4.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,65.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\impl\S3CacheManagerImpl.java,com.salesmanager.core.business.modules.cms.impl.S3CacheManagerImpl,getBucketName/0,0,0,1,3,1,,0,0,0,0,0.0,1.0,1.0,0.0,33,0.0,0.0,1.0,3.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,33.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\impl\S3CacheManagerImpl.java,com.salesmanager.core.business.modules.cms.impl.S3CacheManagerImpl,getLocation/0,0,0,1,3,1,,0,0,0,0,0.0,1.0,1.0,0.0,28,0.0,0.0,1.0,3.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,28.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\impl\S3CacheManagerImpl.java,com.salesmanager.core.business.modules.cms.impl.S3CacheManagerImpl,getRegionName/0,0,0,1,3,1,,0,0,0,0,0.0,1.0,1.0,0.0,37,0.0,0.0,1.0,3.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,37.0
