file,class,method,fanin_x,fanout_x,wmc_x,loc_x,returnsQty_x,variablesQty_x,parametersQty_x,loopQty_x,anonymousClassesQty_x,innerClassesQty_x,ATFD_x,ATLD_x,LAA_x,FDP_x,line_x,fanin_y,fanout_y,wmc_y,loc_y,returnsQty_y,variablesQty_y,parametersQty_y,loopQty_y,anonymousClassesQty_y,innerClassesQty_y,ATFD_y,ATLD_y,LAA_y,FDP_y,line_y
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\diagnosis\MemoryUsageMonitor.java,hudson.diagnosis.MemoryUsageMonitor.MemoryGroup,update/0,1,1,3,14,0,3,0,1,0,0,3,1,0.25,2,76,1,1,3,14,0,3,0,1,0,0,3,1,0.25,2,76
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\diagnosis\MemoryUsageMonitor.java,hudson.diagnosis.MemoryUsageMonitor.MemoryGroup,doGraph/1[java.lang.String],0,2,1,4,1,0,1,0,0,0,3,2,0.4,1,105,0,2,1,4,1,0,1,0,0,0,3,2,0.4,1,105
C:\Users\syuuj\gitProject\jenkins\core\src\main\java\hudson\diagnosis\MemoryUsageMonitor.java,hudson.diagnosis.MemoryUsageMonitor.MemoryGroup,"MemoryGroup/2[java.util.List,java.lang.management.MemoryType]",1,0,3,5,0,0,2,1,0,0,1,0,0,1,69,1,0,3,5,0,0,2,1,0,0,1,0,0,1,69
C:\Users\syuuj\gitProject\jenkins\core\src\test\java\hudson\MarkupTextTest.java,hudson.MarkupTextTest,subTextSubText/0,0,0,1,11,0,2,0,0,0,0,4,0,0,1,116,0,0,1,11,0,2,0,0,0,0,4,0,0,1,116
C:\Users\syuuj\gitProject\jenkins\core\src\test\java\hudson\MarkupTextTest.java,hudson.MarkupTextTest,boundary/0,0,0,2,5,0,1,0,1,0,0,0,1,1,0,51,0,0,2,5,0,1,0,1,0,0,0,1,1,0,51
C:\Users\syuuj\gitProject\jenkins\core\src\test\java\hudson\MarkupTextTest.java,hudson.MarkupTextTest,literalTextSurround/0,0,0,2,7,0,1,0,1,0,0,0,0,-1,0,72,0,0,2,7,0,1,0,1,0,0,0,0,-1,0,72
C:\Users\syuuj\gitProject\jenkins\core\src\test\java\hudson\MarkupTextTest.java,hudson.MarkupTextTest,adjacent/0,0,0,1,10,0,1,0,0,0,0,0,0,-1,0,84,0,0,1,10,0,1,0,0,0,0,0,0,-1,0,84
C:\Users\syuuj\gitProject\jenkins\core\src\test\java\hudson\MarkupTextTest.java,hudson.MarkupTextTest,findTokensOnSubText/0,0,0,2,8,0,2,0,1,0,0,2,0,0,1,60,0,0,2,8,0,2,0,1,0,0,2,0,0,1,60
C:\Users\syuuj\gitProject\jenkins\core\src\test\java\hudson\MarkupTextTest.java,hudson.MarkupTextTest,test1/0,0,0,2,8,0,1,0,1,0,0,0,1,1,0,40,0,0,2,8,0,1,0,1,0,0,0,1,1,0,40
C:\Users\syuuj\gitProject\jenkins\core\src\test\java\hudson\MarkupTextTest.java,hudson.MarkupTextTest,preEscape/0,0,0,1,6,0,1,0,0,0,0,0,0,-1,0,107,0,0,1,6,0,1,0,0,0,0,0,0,-1,0,107
